\2026-08-24\,\b23efa9\,\e-navi\,\背景画像設定ダイアログを開いた際、設定中の測量座標と一致する基準点名をComboBoxに自動選択表示するように修正\
\2026-08-24\,\521d7bf\,\e-navi\,\図面印刷・プレビュー処理から不要な頂点マーク描画を削除し、CAD画面と同様にきれいな線のみを出力するように修正\
\2026-08-24\,\4577b17\,\e-navi\,\遺構レイヤのデフォルト線種を曲線(LType=2)に修正し、CAD描画・ヒット判定の旧DB参照をLayerDefinitionServiceに完全統一\
\2026-08-24\,\72bd360\,\e-navi\,\精密線スケールバーの中間4本目盛を半分の長さに調整し、内枠との干渉を防ぐため配置間隔を適度に拡張\
\2026-08-24\,\82f56c5\,\e-navi\,\画像に基づく精密線スケールバー（左半分5分割・上部0/全長・下部中央に縮尺比率）の描画スタイルを追加\
\2026-08-24\,\6d0e75d\,\e-navi\,\縮尺スケールバーの種類選択機能（ブロック・シンプル線・二重枠・目盛付き）を追加\
\2026-08-24\,\c5c5979\,\e-navi\,\図枠設定に方位記号の種類選択（標準矢印・シンプル・円形コンパス・モダン）を追加し、スケールバーの配置間隔を内枠寄り（約半分）に調整\
\2026-08-24\,\376d30e\,\e-navi\,\図枠設定・印刷ダイアログのタイトル変更、明色テーマによる視認性向上、ダイアログ終了時の図面表示確認自動OFF処理を追加\
\2026-08-24\,\118864e\,\e-navi\,\FormBackgroundSettingsのウィンドウタイトルを「背景画像・点群設定」に変更\
\2026-08-24\,\67a77ed\,\e-navi\,\背景画像設定GroupBox内で基準点1・基準点2・180度反転・不透明度の各項目の上に適切な余白（隙間）を追加\
\2026-08-24\,\28afc59\,\e-navi\,\背景画像・点群設定ダイアログのレイアウトを「背景画像設定」と「点群データ設定」の2大GroupBoxに再編し、視認性の高い明色デザインとスクロールバー不要のコンパクト配置に刷新\
\2026-08-24\,\3d115b2\,\e-navi\,\レイヤ設定ダイアログのListBoxにIntegralHeightを設定し、16件全表示時にスクロールバーが出ないよう高さを最適化\
\2026-08-24\,\27598f6\,\e-navi\,\レイヤ設定ダイアログのListBox高さを16件ジャスト（下部余白ゼロ）に調整し、全体の縦幅を330pxにコンパクト化\
\2026-08-24\,\256fc38\,\e-navi\,\レイヤ設定ダイアログのグループ表示名短縮、ComboBox/ListBox幅拡大、ListBox高さ短縮（16件ぴったり表示）およびボタン配置調整\
\2026-08-24\,\721f2c5\,\e-navi\,\左パネルのレイヤチェックボックス文字色に明るい背景用の黒色/明度調整色を適用（K01等の黒色レイヤが白飛びして見えなくなる問題を修正）\
\2026-08-24\,\7228f51\,\e-navi\,\全OFFボタン表記修正・フォント微調整、表示対象・表示切替チェック状態のINI保存・復元、背景画像/点群未設定時のチェックボックス無効化を実装\
\2026-08-24\,\a4e9bed\,\e-navi\,\左側レイヤパネルのボタン整理（Def・TS・一括更新削除、背景・図枠の横長化・改名、表示切替GroupBox新設）を実装\
\2026-08-24\,\0387606\,\e-navi\,\ヘッダーに「各種ツール」ボタン（図枠設定・印刷、一括更新）を追加し、CSV入出力メニューに各インポート項目を追加\
\2026-08-24\,\43a8c2c\,\e-navi\,\ヘッダーパネル（panelHeader）に各種設定・CSV入出力・同期処理ボタンを追加しドロップダウンメニューを実装\
\2026-08-24\,\4a78e2a\,\e-navi\,\座標データ(X,Y,Z,S)の小数3桁丸め処理およびTS観測値(SVH・器械点・後視点・器械高・ミラー高)のDB保存を実装\
